Fluid simulation profile
dimension=2
steps=7200
simulated_substeps=7200
domain=64
dx=1
frame_dt=0.025
scene=6
fluid_solver=polypic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=24
particle_frames=4321
particles=5932
wall_ms=570941.694

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_sweep_dt_0025\20260628-185233\runs\POLYPIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",1226400,410483.225,410483.225,73.48,0.334706
2,"Diagnostics::record_step",7200,47149.732,47202.487,8.44,6.548574
3,"APIC_Simulation_2D::step",7200,31129.292,511452.452,5.57,4.323513
4,"Fluid_Simulation_2D::advect",7200,24080.567,24080.567,4.31,3.344523
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",7200,8531.235,8531.235,1.53,1.184894
6,"Fluid_Simulation_2D::grid_to_particle",7200,8245.562,8245.562,1.48,1.145217
7,"Fluid_Simulation_2D::particle_to_grid",7200,7228.474,7228.474,1.29,1.003955
8,"Fluid_Simulation_2D::projection_2d",7200,6435.292,420006.822,1.15,0.893791
9,"APIC_Simulation_2D::particle_mechanical_energy",21600,3698.187,3698.187,0.66,0.171212
10,"Fluid_Simulation_2D::projection_dot_product",3693600,2983.235,2983.235,0.53,0.000808
11,"APIC_Simulation_2D::particle_kinetic_energy",21600,2809.482,2809.482,0.50,0.130069
12,"APIC_Simulation_2D::max_particle_speed",14400,2048.277,2048.277,0.37,0.142241
13,"APIC_Simulation_2D::max_grid_speed",43200,1080.204,1080.204,0.19,0.025005
14,"APIC_Simulation_2D::grid_kinetic_energy",43200,907.648,907.648,0.16,0.021010
15,"Fluid_Simulation_2D::extrapolate_velocity",14400,786.063,1194.757,0.14,0.054588
16,"Fluid_Simulation_2D::init_marker_vectors",14400,408.694,408.694,0.07,0.028382
17,"Fluid_Simulation_2D::enforce_boundary",7200,202.141,202.141,0.04,0.028075
18,"APIC_Simulation_2D::divergence_stats",14400,177.761,177.761,0.03,0.012345
19,"Fluid_Simulation::apply_forces_2d_settings",7200,112.042,112.042,0.02,0.015561
20,"Fluid_Simulation_2D::setup_rhs",7200,105.070,105.070,0.02,0.014593
21,"Diagnostics::fluid_measure_from",7200,48.056,48.056,0.01,0.006674
22,"Diagnostics::bounds_from",7201,4.701,4.701,0.00,0.000653
