step,time,dt,kinetic_energy,elastic_energy,total_energy,normalized_total_energy,width,height,max_speed,rms_linear_mode,rms_bilinear_mode,rms_quadratic_mode,max_abs_coeff,particle_count,total_mass,stage_after_advect_particle_kinetic_energy,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,center_of_mass_x,center_of_mass_y,total_momentum_x,total_momentum_y,min_deformation_determinant,max_deformation_determinant,invalid_count,out_of_bounds_count
14994,0.14994000000000918,1.0000000000000001e-05,156.52358642803097,3147.6455852021022,3304.169171630133,0.33420479982915285,12.173818666571769,12.173818666571769,2.7191005745928103,0,0,0,0,576,144,159.15264280375069,0.047952833448403363,0.0011497371178651563,0.0010402726719199646,31.999999999999975,32.000000000000043,-9.2092999892656735e-14,1.1934897514720433e-13,0.87779237472991067,0.90404664882123931,0,0
16660,0.16660000000002584,1.0000000000000001e-05,138.08501533327023,2706.8589237968713,2844.9439391301416,0.28775582311757675,12.235982246732824,12.235982246732824,2.558479140227321,0,0,0,0,576,144,140.38577477532536,0.044732051534231501,0.0010004782172305714,0.0010262354822756818,31.999999999999986,31.999999999999982,-4.6962433941644122e-14,9.7089003503469939e-14,0.88393279929973467,0.91259491250592506,0,0
18326,0.1832600000000425,1.0000000000000001e-05,121.20992125005317,2322.6063637788302,2443.8162850288832,0.24718320701308413,12.294410167157029,12.294410167157029,2.402053037278272,0,0,0,0,576,144,123.21482768636044,0.041766274330316086,0.00087221083571761013,0.0010193445277790886,32.000000000000021,32.000000000000036,-1.0297318553398327e-13,1.138533711753098e-13,0.88972588942209341,0.92062593610193133,0,0
19992,0.19992000000005916,1.0000000000000001e-05,105.88396563916226,1989.0247223413933,2094.9086879805554,0.21189246142063661,12.349202602263492,12.349202602263492,2.2500035194927399,0,0,0,0,576,144,107.62373147139371,0.039038015022074185,0.00076198330843184499,0.0010195297534665913,32,32,-1.1329825966299722e-13,8.9761531540943906e-14,0.89518458426626824,0.92811324709486642,0,0
21658,0.21658000000007582,1.0000000000000001e-05,92.079601700930439,1700.528781983669,1792.6083836845994,0.18131587546584479,12.40047258126511,12.40047258126511,2.1031377833598994,0,0,0,0,576,144,93.583657767898742,0.036476312162768094,0.00066526067449785176,0.0010236566876375107,31.999999999999982,32.000000000000014,-1.1474154959500993e-13,6.4614980033184111e-14,0.90031575618114612,0.93508081203189708,0,0
23324,0.23324000000009248,1.0000000000000001e-05,79.730437167660682,1451.8949309989146,1531.6253681665753,0.15491838431772101,12.448348423832019,12.448348423832019,1.9619530692149096,0,0,0,0,576,144,81.026169151639493,0.034079201804679868,0.00058069599782204775,0.0010320150213430383,31.999999999999961,31.999999999999993,-8.276712648580542e-14,1.1890488593735427e-13,0.90513111700065396,0.94155630362921516,0,0
24990,0.24990000000010915,1.0000000000000001e-05,68.752362628762128,1238.3145283085651,1307.0668909373271,0.13220510390317294,12.492968581855045,12.492968581855045,1.8268466998347996,0,0,0,0,576,144,69.864963003219017,0.031842444571390023,0.00050697063814102302,0.0010449267952656418,31.99999999999995,31.999999999999957,-6.1117777505614868e-14,4.0301095793893182e-14,0.90964558177574029,0.94756539342130486,0,0
26656,0.26656000000012581,1.0000000000000001e-05,59.049871822171291,1055.4004044923963,1114.4502763145676,0.11272262773745972,12.534480362359393,12.534480362359393,1.6980808609151312,0,0,0,0,576,144,60.002312444663765,0.029760962630768238,0.00044285744835499176,0.0010628169142969286,32.000000000000007,31.99999999999995,-3.1918911957973251e-14,-5.21249710061511e-14,0.913876901903804,0.95313505588501879,0,0
28322,0.28322000000014247,1.0000000000000001e-05,50.524893032336479,899.19020275783646,949.71509579017288,0.096060258115261227,12.573033448378865,12.573033448378865,1.5757229231658083,0,0,0,0,576,144,51.337855052005473,0.027823884182465761,0.00038708426549963421,0.0010857511318983085,32,31.999999999999925,-1.9484414082171497e-14,6.0451643690839774e-14,0.91784251531445638,0.95828886823092641,0,0
29988,0.29988000000015913,1.0000000000000001e-05,43.076638818746723,766.13452245098722,809.21116126973391,0.081848791670144222,12.608780653233637,12.608780653233637,1.459905868545408,0,0,0,0,576,144,43.768682699437221,0.026023456555651144,0.00033861014555193128,0.0011140353776309549,32,32.000000000000021,-6.8833827526759706e-15,9.7921670771938807e-14,0.92155929490042066,0.96304748935432627,0,0
31654,0.31654000000017579,1.0000000000000001e-05,36.60230772149351,653.0709508082208,689.6732585297143,0.069757963754842486,12.641876509727521,12.641876509727521,1.350651290509217,0,0,0,0,576,144,37.189968174478096,0.024353367301297134,0.00029654324945594421,0.0011482189960829153,32.000000000000021,31.999999999999986,-4.0245584642661925e-14,6.9055872131684737e-14,0.92504389854883828,0.96743178800497831,0,0
33320,0.33320000000019245,1.0000000000000001e-05,31.001341701229606,557.2016686370406,588.20301033827025,0.059494613961313184,12.672475129796638,12.672475129796638,1.2479052982083496,0,0,0,0,576,144,31.499243726377593,0.022806851179639275,0.00026007623036510669,0.0011889484553310903,31.999999999999993,31.999999999999982,-4.4519943287468777e-14,7.8631545719076712e-14,0.92831240119632696,0.97146265004203802,0,0
34986,0.34986000000020911,1.0000000000000001e-05,26.177635513574042,476.06708062918574,502.24471614275978,0.050800242392228842,12.700728628126942,12.700728628126942,1.1515543890986009,0,0,0,0,576,144,26.598634285852054,0.021376932510444271,0.00022848662177804463,0.0012369835677442269,31.999999999999975,31.999999999999968,-5.2319260035460502e-14,5.4484194933479557e-14,0.9313800752422533,0.97516083457346436,0,0
36652,0.36652000000022578,1.0000000000000001e-05,22.040856571859024,407.51733664668484,429.55819321854386,0.043448262641089155,12.726785855183188,12.726785855183188,1.0614366980115217,0,0,0,0,576,144,22.396187498732441,0.020056587037844426,0.00020113334180331453,0.0012932201617491923,31.999999999999986,32.000000000000014,-4.6768144912334719e-14,1.0361156377314273e-13,0.93426126972068657,0.97854683262984254,0,0
38318,0.38318000000024244,1.0000000000000001e-05,18.507259718541743,349.68322141921828,368.19048113776,0.037241139801245875,12.75079137247149,12.75079137247149,0.97735153891698345,0,0,0,0,576,144,18.806691210185829,0.018838855897713801,0.00017745124576741303,0.0013587174428996026,31.99999999999995,31.999999999999982,-4.3132164506687332e-14,7.3940853440035426e-14,0.93696935921096924,0.98196297514633657,0,0
39984,0.3998400000002591,1.0000000000000001e-05,15.500137195002081,300.94739877710333,316.44753597210541,0.032007527436559678,12.772884640663133,12.772884640663133,0.89906798220130202,0,0,0,0,576,144,15.752121210082709,0.017716926862247788,0.00015694474872111864,0.0014347301874095332,31.999999999999961,31.999999999999918,-4.2604808569990382e-14,8.3433260300580514e-14,0.93951674079556946,0.98511336387627246,0,0
41650,0.41650000000027576,1.0000000000000001e-05,12.949980039636172,259.91670991197611,272.86668995161227,0.027599481975171165,12.79319939992714,12.79319939992714,0.82633259640520351,0,0,0,0,576,144,13.161796910059026,0.01668419210588554,0.00013918113311304668,0.0015227467271554575,32,31.999999999999975,-4.929390229335695e-14,6.872280522429719e-14,0.94191486277631842,0.98800238087714864,0,0
43316,0.43316000000029242,1.0000000000000001e-05,10.794410417316664,225.39601420074271,236.19042461805938,0.02388980995851904,12.81186322269971,12.81186322269971,0.75887633970642732,0,0,0,0,576,144,10.972305506725775,0.015734288721520832,0.00012378392078608885,0.0016245341129326846,31.999999999999975,31.999999999999975,-4.7406523151494184e-14,3.9968028886505635e-14,0.9441742730695809,0.99064700206233991,0,0
44982,0.44982000000030908,1.0000000000000001e-05,8.9779382174807765,196.3638915381176,205.34182975559838,0.020769585800646084,12.828997218567412,12.828997218567412,0.69642057977356442,0,0,0,0,576,144,9.1272488147920665,0.014861126404506325,0.00011042653900535755,0.0017421921916929801,31.999999999999993,32.000000000000007,-4.6643244822064389e-14,5.530298441414061e-14,0.94630467851453359,0.99306374563262834,0,0
46648,0.46648000000032575,1.0000000000000001e-05,7.4515900968312652,171.95038753347464,179.40197763030591,0.018145863274098152,12.844715870733097,12.844715870733097,0.63868224742175461,0,0,0,0,576,144,7.5768616363439882,0.014058905512518012,9.8826412104954673e-05,0.0018782187172126301,31.999999999999986,31.999999999999929,-4.5574655160862676e-14,5.7273630282850263e-14,0.94831500891400444,0.99526855791583679,0,0
48314,0.48314000000034241,1.0000000000000001e-05,6.1724531224486494,151.41687374905183,157.58932687150048,0.015939592286770565,12.859126984004735,12.859126984004735,0.58537815824589201,0,0,0,0,576,144,6.2775443729876779,0.013322127855907154,8.8739545304568663e-05,0.0020355880842263438,31.999999999999975,31.999999999999961,-3.6956548932209898e-14,6.2172489379008766e-14,0.95021348161080044,0.99727672742848994,0,0
49980,0.49980000000035907,1.0000000000000001e-05,5.1031684575996703,134.13801153829931,139.24117999589899,0.014083743377324136,12.872331725336512,12.872331725336512,0.53622855849701312,0,0,0,0,576,144,5.1913457474907405,0.012645601954372459,7.9955624394214273e-05,0.0022178468691533004,31.99999999999995,31.999999999999961,-3.8760661347225778e-14,6.9125261070723809e-14,0.95200766389165392,0.99910282394258587,0,0
