Fluid simulation profile
dimension=2
steps=900
simulated_substeps=900
domain=64
dx=2
frame_dt=0.2
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=5
particle_frames=901
particles=1356
wall_ms=5854.331

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\cfl_settling_dx_2_dt02\20260629-171145\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",73220,2752.299,2752.299,51.25,0.037589
2,"Diagnostics::record_step",900,793.472,795.357,14.77,0.881636
3,"Fluid_Simulation_2D::advect",900,592.820,592.820,11.04,0.658689
4,"APIC_Simulation_2D::step",900,434.152,4575.360,8.08,0.482391
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",900,163.853,163.853,3.05,0.182059
6,"Fluid_Simulation_2D::projection_2d",900,132.690,2928.942,2.47,0.147433
7,"Fluid_Simulation_2D::grid_to_particle",900,105.462,105.462,1.96,0.117180
8,"Fluid_Simulation_2D::particle_to_grid",900,94.821,94.821,1.77,0.105356
9,"APIC_Simulation_2D::particle_mechanical_energy",2700,56.025,56.025,1.04,0.020750
10,"APIC_Simulation_2D::particle_kinetic_energy",2700,48.117,48.117,0.90,0.017821
11,"Fluid_Simulation_2D::projection_dot_product",221460,41.072,41.072,0.76,0.000185
12,"Fluid_Simulation_2D::extrapolate_velocity",1800,34.610,48.679,0.64,0.019228
13,"APIC_Simulation_2D::max_grid_speed",5400,33.597,33.597,0.63,0.006222
14,"APIC_Simulation_2D::grid_kinetic_energy",5400,26.872,26.872,0.50,0.004976
15,"APIC_Simulation_2D::max_particle_speed",1800,25.871,25.871,0.48,0.014373
16,"Fluid_Simulation_2D::init_marker_vectors",1800,14.068,14.068,0.26,0.007816
17,"Fluid_Simulation_2D::enforce_boundary",900,6.965,6.965,0.13,0.007739
18,"APIC_Simulation_2D::divergence_stats",1800,5.364,5.364,0.10,0.002980
19,"Fluid_Simulation::apply_forces_2d_settings",900,3.820,3.820,0.07,0.004245
20,"Fluid_Simulation_2D::setup_rhs",900,2.881,2.881,0.05,0.003201
21,"Diagnostics::fluid_measure_from",900,1.585,1.585,0.03,0.001761
22,"Diagnostics::bounds_from",901,0.301,0.301,0.01,0.000334
