Fluid simulation profile
dimension=2
steps=3600
simulated_substeps=3600
domain=64
dx=1
frame_dt=0.05
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0
adaptive=false
diagnostics=true
particle_export=true
particle_fps=20
particle_frames=3601
particles=5932
wall_ms=267814.863

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_sweep_dt_005\20260628-193633\runs\PIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",565998,204026.430,204026.430,78.71,0.360472
2,"Diagnostics::record_step",3600,17609.691,17632.760,6.79,4.891581
3,"Fluid_Simulation_2D::advect",3600,11042.186,11042.186,4.26,3.067274
4,"APIC_Simulation_2D::step",3600,9563.051,241585.305,3.69,2.656403
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",3600,3610.397,3610.397,1.39,1.002888
6,"Fluid_Simulation_2D::projection_2d",3600,2720.128,208281.591,1.05,0.755591
7,"Fluid_Simulation_2D::grid_to_particle",3600,2170.629,2170.629,0.84,0.602952
8,"Fluid_Simulation_2D::particle_to_grid",3600,1844.491,1844.491,0.71,0.512358
9,"APIC_Simulation_2D::particle_mechanical_energy",10800,1509.161,1509.161,0.58,0.139737
10,"Fluid_Simulation_2D::projection_dot_product",1705194,1483.085,1483.085,0.57,0.000870
11,"APIC_Simulation_2D::particle_kinetic_energy",10800,1202.939,1202.939,0.46,0.111383
12,"APIC_Simulation_2D::max_particle_speed",7200,786.017,786.017,0.30,0.109169
13,"APIC_Simulation_2D::max_grid_speed",21600,462.863,462.863,0.18,0.021429
14,"APIC_Simulation_2D::grid_kinetic_energy",21600,392.640,392.640,0.15,0.018178
15,"Fluid_Simulation_2D::extrapolate_velocity",7200,327.040,502.894,0.13,0.045422
16,"Fluid_Simulation_2D::init_marker_vectors",7200,175.854,175.854,0.07,0.024424
17,"Fluid_Simulation_2D::enforce_boundary",3600,87.426,87.426,0.03,0.024285
18,"APIC_Simulation_2D::divergence_stats",7200,83.046,83.046,0.03,0.011534
19,"Fluid_Simulation_2D::setup_rhs",3600,51.948,51.948,0.02,0.014430
20,"Fluid_Simulation::apply_forces_2d_settings",3600,45.973,45.973,0.02,0.012770
21,"Diagnostics::fluid_measure_from",3600,20.533,20.533,0.01,0.005704
22,"Diagnostics::bounds_from",3601,2.536,2.536,0.00,0.000704
