step,time,dt,kinetic_energy,elastic_energy,total_energy,normalized_total_energy,width,height,max_speed,rms_linear_mode,rms_bilinear_mode,rms_quadratic_mode,max_abs_coeff,particle_count,total_mass,stage_after_advect_particle_kinetic_energy,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,center_of_mass_x,center_of_mass_y,total_momentum_x,total_momentum_y,min_deformation_determinant,max_deformation_determinant,invalid_count,out_of_bounds_count
48314,0.48314000000034241,1.0000000000000001e-05,1614.6532605141651,540.03096506400016,2154.6842255781653,0.21793854155146516,13.072690456547502,13.072690456547502,7.4413224872712282,0,0,0,0,576,144,1588.9231501883223,3.8398997467422462e-05,7.3724150325155826e-10,6.68142927212318e-11,32.000000000000014,32.000000000000028,1.4619416788264061e-12,-4.6163073363914009e-13,0.98143997778133407,1.0847470543089985,0,0
49980,0.49980000000035907,1.0000000000000001e-05,1959.0658920559113,181.82793958740439,2140.8938316433155,0.21654369292079173,12.890389955836433,12.890389955836433,7.8703387947563943,0,0,0,0,576,144,1929.6907321245731,4.0666686147686466e-05,8.2688968111721717e-10,6.170528370096996e-11,31.999999999999982,32.000000000000007,1.1171064073778325e-12,-2.8288482667448989e-13,0.95724249978600129,1.0505631222182792,0,0
51646,0.51646000000028436,1.0000000000000001e-05,1819.3574145459309,265.99497601576536,2085.3523905616962,0.21092587638818741,12.709352057712973,12.709352057712973,7.3438056839546224,0,0,0,0,576,144,1792.6680050014941,3.4314513387344806e-05,5.8874291450513293e-10,4.7292069391659853e-11,32.000000000000036,32.000000000000007,7.3940853440035426e-13,-2.7400304247748863e-13,0.93797015440600451,1.0135186008586092,0,0
53312,0.53312000000020854,1.0000000000000001e-05,1295.1452757052677,679.21978926364579,1974.3650649689134,0.1996999085255888,12.551143141497569,12.551143141497569,5.9554240328292796,0,0,0,0,576,144,1276.3249590107307,2.2170675127264162e-05,2.4576941779934489e-10,2.7728672007273725e-11,32.000000000000036,31.999999999999975,1.7785772854495008e-13,-2.5091040356528538e-14,0.92503100651746661,0.97867553535309826,0,0
54978,0.54978000000013272,1.0000000000000001e-05,646.65089853172924,1173.8434021849539,1820.494300716683,0.18413643544194372,12.43411082554433,12.43411082554433,3.8872260776318952,0,0,0,0,576,144,637.18435933444891,9.8116875714795811e-06,4.8134606500163432e-11,1.0878144189326121e-11,32.000000000000021,32.000000000000021,2.3769874957224602e-13,1.5232259897857148e-13,0.91961012440990664,0.94994069061195685,0,0
56644,0.5664400000000569,1.0000000000000001e-05,158.72139713627985,1491.544507273675,1650.2659044099548,0.16691844684698925,12.371247503645449,12.371247503645449,1.8353732420930617,0,0,0,0,576,144,155.64453499888043,2.9362257840829075e-06,4.3107109275566425e-12,3.988205391038096e-12,32.000000000000028,32.000000000000028,3.2712721420580237e-13,-2.6234570071892449e-13,0.91882868893213643,0.93329972638473968,0,0
58310,0.58309999999998108,1.0000000000000001e-05,16.085891757413819,1478.6637740167157,1494.7496657741294,0.15118853996155368,12.368548410910932,12.368548410910932,1.1645928862815977,0,0,0,0,576,144,13.660128211438636,1.815903385344429e-06,1.6487525524526786e-12,1.7380537274486101e-11,32.000000000000078,32.000000000000021,4.9441006844119784e-13,-1.4949153026577733e-13,0.91939994186208107,0.93861959497492342,0,0
59976,0.59975999999990526,1.0000000000000001e-05,234.17364116191692,1145.973604586417,1380.1472457483339,0.13959691832985568,12.424293387779841,12.424293387779841,3.500064808110293,0,0,0,0,576,144,227.01482256570876,1.0808250685009456e-05,5.8409141435003683e-11,3.705007572448702e-11,32.00000000000005,32.000000000000064,4.297673328323981e-13,-1.5154544286133387e-13,0.92046643087385593,0.95616642598492707,0,0
61642,0.61641999999982944,1.0000000000000001e-05,664.63121900099782,653.29752421666592,1317.9287432176639,0.13330374110319645,12.529265299358375,12.529265299358375,5.2976954863010706,0,0,0,0,576,144,650.49839803104794,2.1630920051345397e-05,2.3394835113384815e-10,5.1788847851499467e-11,32.000000000000028,31.999999999999975,4.5774495305295204e-13,-3.4350300381902343e-13,0.93070023673219715,0.97910603307270661,0,0
63308,0.63307999999975362,1.0000000000000001e-05,1070.6062140523456,228.14215643883239,1298.7483704911781,0.13136371554919576,12.667850037463054,12.667850037463054,6.3223609012607307,0,0,0,0,576,144,1051.3457400767843,2.8476798352955342e-05,4.0546402221744001e-10,5.5535317235457738e-11,32.000000000000064,32.000000000000064,8.9173113337892573e-13,3.8435921112522919e-13,0.94917368801029423,1.0043153101409414,0,0
