Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0.99
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=5932
wall_ms=117816.701

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling\20260627-213114\runs\FLIP_099
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",298399,87277.822,87277.822,76.81,0.292487
2,"Diagnostics::record_step",1800,8320.867,8332.101,7.32,4.622704
3,"Fluid_Simulation_2D::advect",1800,5490.103,5490.103,4.83,3.050057
4,"APIC_Simulation_2D::step",1800,4624.244,105289.641,4.07,2.569025
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,1724.882,1724.882,1.52,0.958268
6,"Fluid_Simulation_2D::projection_2d",1800,1144.577,89080.519,1.01,0.635876
7,"Fluid_Simulation_2D::grid_to_particle",1800,1086.423,1086.423,0.96,0.603568
8,"Fluid_Simulation_2D::particle_to_grid",1800,913.505,913.505,0.80,0.507503
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,669.905,669.905,0.59,0.124057
10,"Fluid_Simulation_2D::projection_dot_product",898797,637.014,637.014,0.56,0.000709
11,"APIC_Simulation_2D::particle_kinetic_energy",5400,570.595,570.595,0.50,0.105666
12,"APIC_Simulation_2D::max_particle_speed",3600,358.414,358.414,0.32,0.099560
13,"APIC_Simulation_2D::max_grid_speed",10800,220.647,220.647,0.19,0.020430
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,193.149,193.149,0.17,0.017884
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,166.772,253.805,0.15,0.046326
16,"Fluid_Simulation_2D::init_marker_vectors",3600,87.033,87.033,0.08,0.024176
17,"Fluid_Simulation_2D::enforce_boundary",1800,42.585,42.585,0.04,0.023658
18,"APIC_Simulation_2D::divergence_stats",3600,37.572,37.572,0.03,0.010437
19,"Fluid_Simulation::apply_forces_2d_settings",1800,23.294,23.294,0.02,0.012941
20,"Fluid_Simulation_2D::setup_rhs",1800,21.105,21.105,0.02,0.011725
21,"Diagnostics::fluid_measure_from",1800,10.038,10.038,0.01,0.005576
22,"Diagnostics::bounds_from",1801,1.197,1.197,0.00,0.000665
