Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0.5
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=5932
wall_ms=131722.480

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_sweep_flip\20260628-202342\runs\FLIP_050
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",302632,100713.546,100713.546,78.99,0.332792
2,"Diagnostics::record_step",1800,8502.717,8513.870,6.67,4.723731
3,"Fluid_Simulation_2D::advect",1800,5434.304,5434.304,4.26,3.019058
4,"APIC_Simulation_2D::step",1800,4631.930,118994.988,3.63,2.573294
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,1758.675,1758.675,1.38,0.977042
6,"Fluid_Simulation_2D::projection_2d",1800,1285.549,102748.742,1.01,0.714194
7,"Fluid_Simulation_2D::grid_to_particle",1800,1082.353,1082.353,0.85,0.601307
8,"Fluid_Simulation_2D::particle_to_grid",1800,915.187,915.187,0.72,0.508437
9,"Fluid_Simulation_2D::projection_dot_product",911496,726.431,726.431,0.57,0.000797
10,"APIC_Simulation_2D::particle_mechanical_energy",5400,710.480,710.480,0.56,0.131570
11,"APIC_Simulation_2D::particle_kinetic_energy",5400,578.452,578.452,0.45,0.107121
12,"APIC_Simulation_2D::max_particle_speed",3600,369.656,369.656,0.29,0.102682
13,"APIC_Simulation_2D::max_grid_speed",10800,222.039,222.039,0.17,0.020559
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,188.884,188.884,0.15,0.017489
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,165.353,250.996,0.13,0.045931
16,"Fluid_Simulation_2D::init_marker_vectors",3600,85.643,85.643,0.07,0.023790
17,"Fluid_Simulation_2D::enforce_boundary",1800,41.432,41.432,0.03,0.023018
18,"APIC_Simulation_2D::divergence_stats",3600,39.008,39.008,0.03,0.010836
19,"Fluid_Simulation_2D::setup_rhs",1800,23.217,23.217,0.02,0.012898
20,"Fluid_Simulation::apply_forces_2d_settings",1800,22.850,22.850,0.02,0.012694
21,"Diagnostics::fluid_measure_from",1800,10.044,10.044,0.01,0.005580
22,"Diagnostics::bounds_from",1801,1.110,1.110,0.00,0.000616
